"Ticker","Stock_Name","Sector_Name"
"GENZ","Genzyme Corp.","Health Care"
"GILD","Gilead Sciences","Health Care"
"GS","Goldman Sachs Group","Financials"
"GR","Goodrich Corporation","Industrials"
"GT","Goodyear Tire & Rubber","Consumer Discretionary"
"GOOG","Google Inc.","Information Technology"
"GWW","Grainger (W.W.) Inc.","Industrials"
"HAL","Halliburton Co.","Energy"
"HOG","Harley-Davidson","Consumer Discretionary"
"HAR","Harman Int'l Industries","Consumer Discretionary"
"HET","Harrah's Entertainment","Consumer Discretionary"
"HIG","Hartford Financial Svc.Gp.","Financials"
"HAS","Hasbro Inc.","Consumer Discretionary"
"HNZ","Heinz (H.J.)","Consumer Staples"
"HPC","Hercules, Inc.","Materials"
"HES","Hess Corporation","Energy"
"HPQ","Hewlett-Packard","Information Technology"
"HLT","Hilton Hotels","Consumer Discretionary"
"HD","Home Depot","Consumer Discretionary"
"HON","Honeywell Int'l Inc.","Industrials"
"HSP","Hospira Inc.","Health Care"
"HST","Host Hotels & Resorts","Financials"
"HCBK","Hudson City Bancorp","Financials"
"HUM","Humana Inc.","Health Care"
"HBAN","Huntington Bancshares","Financials"
"IACI","IAC/InterActive Corp.","Consumer Discretionary"
"RX","IMS Health Inc.","Health Care"
"ITT","ITT Corporation","Industrials"
"ITW","Illinois Tool Works","Industrials"
"IR","Ingersoll-Rand Co. Ltd.","Industrials"
"TEG","Integrys Energy Group, Inc.","Utilities"
"INTC","Intel Corp.","Information Technology"
"IBM","International Bus. Machines","Information Technology"
"IFF","International Flav/Frag","Materials"
"IGT","International Game Technology","Consumer Discretionary"
"IP","International Paper","Materials"
"IPG","Interpublic Group","Consumer Discretionary"
"INTU","Intuit, Inc.","Information Technology"
"JDSU","JDS Uniphase Corp.","Information Technology"
"JPM","JPMorgan Chase & Co.","Financials"
"JBL","Jabil Circuit","Information Technology"
"JNS","Janus Capital Group","Financials"
"JNJ","Johnson & Johnson","Health Care"
"JCI","Johnson Controls","Consumer Discretionary"
"JNY","Jones Apparel Group","Consumer Discretionary"
"JNPR","Juniper Networks","Information Technology"
"KBH","KB Home","Consumer Discretionary"
"KLAC","KLA-Tencor Corp.","Information Technology"
"K","Kellogg Co.","Consumer Staples"
"KEY","KeyCorp","Financials"
"KSE","Keyspan Energy","Utilities"
"KMB","Kimberly-Clark","Consumer Staples"
"KIM","Kimco Realty","Financials"
"KMI","Kinder Morgan","Energy"
"KG","King Pharmaceuticals","Health Care"
"KSS","Kohl's Corp.","Consumer Discretionary"
"KFT","Kraft Foods Inc-A","Consumer Staples"
"KR","Kroger Co.","Consumer Staples"
"LLL","L-3 Communications Holdings","Industrials"
"LSI","LSI Corporation","Information Technology"
"LH","Laboratory Corp. of America Holding","Health Care"
"LM","Legg Mason","Financials"
"LEG","Leggett & Platt","Consumer Discretionary"
"LEH","Lehman Bros.","Financials"
"LEN","Lennar Corp.","Consumer Discretionary"
"LXK","Lexmark Int'l Inc","Information Technology"
"LLY","Lilly (Eli) & Co.","Health Care"
"LTD","Limited Brands, Inc.","Consumer Discretionary"
"LNC","Lincoln National","Financials"
"LLTC","Linear Technology Corp.","Information Technology"
"LIZ","Liz Claiborne, Inc.","Consumer Discretionary"
"LMT","Lockheed Martin Corp.","Industrials"
"LTR","Loews Corp.","Financials"
"LOW","Lowe's Cos.","Consumer Discretionary"
"MTB","M&T Bank Corp.","Financials"
"MBI","MBIA Inc.","Financials"
"MTG","MGIC Investment","Financials"
"HCR","Manor Care Inc.","Health Care"
"MRO","Marathon Oil Corp.","Energy"
"MAR","Marriott Int'l.","Consumer Discretionary"
"MMC","Marsh & McLennan","Financials"
"MI","Marshall & Ilsley Corp.","Financials"
"MAS","Masco Corp.","Industrials"
"MAT","Mattel, Inc.","Consumer Discretionary"
"MXIM","Maxim Integrated Prod","Information Technology"
"MKC","McCormick & Co.","Consumer Staples"
"MCD","McDonald's Corp.","Consumer Discretionary"
"MHP","McGraw-Hill","Consumer Discretionary"
"MCK","McKesson Corp. (New)","Health Care"
"MWV","MeadWestvaco Corporation","Materials"
"MEDI","MedImmune Inc.","Health Care"
"MHS","Medco Health Solutions Inc.","Health Care"
"MDT","Medtronic Inc.","Health Care"
"MEL","Mellon Bank Corp.","Financials"
"MRK","Merck & Co.","Health Care"
"MDP","Meredith Corp.","Consumer Discretionary"
"MER","Merrill Lynch","Financials"
"MET","MetLife Inc.","Financials"
"MU","Micron Technology","Information Technology"
"MSFT","Microsoft Corp.","Information Technology"
"MIL","Millipore Corp.","Health Care"
"MOLX","Molex Inc.","Information Technology"
"TAP","Molson Coors Brewing Company","Consumer Staples"
"MON","Monsanto Co.","Materials"
"MNST","Monster Worldwide","Industrials"
"MCO","Moody's Corp","Financials"
"MS","Morgan Stanley","Financials"
"MOT","Motorola Inc.","Information Technology"
"MUR","Murphy Oil","Energy"
"MYL","Mylan Laboratories","Health Care"
"NCR","NCR Corp.","Information Technology"
"GAS","NICOR Inc.","Utilities"
"NKE","NIKE Inc.","Consumer Discretionary"
"NVDA","NVIDIA Corp.","Information Technology"
"NBR","Nabors Industries Ltd.","Energy"
"NCC","National City Corp.","Financials"
"NOV","National Oilwell Varco, Inc.","Energy"
"NSM","National Semiconductor","Information Technology"
"NTAP","Network Appliance","Information Technology"
"NYT","New York Times Cl. A","Consumer Discretionary"
"NWL","Newell Rubbermaid Co.","Consumer Discretionary"
"NEM","Newmont Mining Corp. (Hldg. Co.)","Materials"
"NWS.A","News Corporation","Consumer Discretionary"
"NI","NiSource Inc.","Utilities"
"NE","Noble Corporation","Energy"
"JWN","Nordstrom","Consumer Discretionary"
"NSC","Norfolk Southern Corp.","Industrials"
"NTRS","Northern Trust Corp.","Financials"
"NOC","Northrop Grumman Corp.","Industrials"
"NOVL","Novell Inc.","Information Technology"
"NVLS","Novellus Systems","Information Technology"
"NUE","Nucor Corp.","Materials"
"OXY","Occidental Petroleum","Energy"
"ODP","Office Depot","Consumer Discretionary"
"OMX","OfficeMax Inc.","Consumer Discretionary"
"OMC","Omnicom Group","Consumer Discretionary"
"ORCL","Oracle Corp.","Information Technology"
"PCAR","PACCAR Inc.","Industrials"
"PCG","PG&E Corp.","Utilities"
"PMCS","PMC-Sierra Inc.","Information Technology"
"PNC","PNC Financial Services","Financials"
"PPG","PPG Industries","Materials"
"PPL","PPL Corp.","Utilities"
"PTV","Pactiv Corp.","Materials"
"PLL","Pall Corp.","Industrials"
"PH","Parker-Hannifin","Industrials"
"PDCO","Patterson Cos. Inc.","Health Care"
"PAYX","Paychex Inc.","Information Technology"
"BTU","Peabody Energy","Energy"
"JCP","Penney (J.C.)","Consumer Discretionary"
"PBG","Pepsi Bottling Group","Consumer Staples"
"PEP","PepsiCo Inc.","Consumer Staples"
"PKI","PerkinElmer","Health Care"
"PFE","Pfizer, Inc.","Health Care"
"PNW","Pinnacle West Capital","Utilities"
"PBI","Pitney-Bowes","Industrials"
"PCL","Plum Creek Timber Co.","Financials"
"RL","Polo Ralph Lauren Corp.","Consumer Discretionary"
"PX","Praxair, Inc.","Materials"
"PFG","Principal Financial Group","Financials"
"PLD","ProLogis","Financials"
"PG","Procter & Gamble","Consumer Staples"
"PGN","Progress Energy, Inc.","Utilities"
"PGR","Progressive Corp.","Financials"
"PRU","Prudential Financial","Financials"
"PEG","Public Serv. Enterprise Inc.","Utilities"
"PSA","Public Storage","Financials"
"PHM","Pulte Homes, Inc.","Consumer Discretionary"
"QLGC","QLogic Corp.","Information Technology"
"QCOM","QUALCOMM Inc.","Information Technology"
"DGX","Quest Diagnostics","Health Care"
"STR","Questar Corp.","Utilities"
"Q","Qwest Communications Int","Telecommunication Services"
"RSH","RadioShack Corp","Consumer Discretionary"
"RTN","Raytheon Co. (New)","Industrials"
"RF","Regions Financial Corp.","Financials"
"RAI","Reynolds American Inc.","Consumer Staples"
"RHI","Robert Half International","Industrials"
"ROK","Rockwell Automation, Inc.","Industrials"
"COL","Rockwell Collins","Industrials"
"ROH","Rohm & Haas","Materials"
"RDC","Rowan Cos.","Energy"
"R","Ryder System","Industrials"
"SAF","SAFECO Corp.","Financials"
"SLM","SLM Corporation","Financials"
"SWY","Safeway Inc.","Consumer Staples"
"SNDK","SanDisk Corporation","Information Technology"
"SANM","Sanmina-SCI Corp.","Information Technology"
"SLE","Sara Lee Corp.","Consumer Staples"
"SGP","Schering-Plough","Health Care"
"SLB","Schlumberger Ltd.","Energy"
"SSP","Scripps (E. W.) 'A'","Consumer Discretionary"
"SEE","Sealed Air Corp.(New)","Materials"
"SHLD","Sears Holdings Corporation","Consumer Discretionary"
"SRE","Sempra Energy","Utilities"
"SHW","Sherwin-Williams","Consumer Discretionary"
"SIAL","Sigma-Aldrich","Materials"
"SPG","Simon Property Group, Inc","Financials"
"SII","Smith International","Energy"
"SNA","Snap-On Inc.","Consumer Discretionary"
"SLR","Solectron","Information Technology"
"SO","Southern Co.","Utilities"
"LUV","Southwest Airlines","Industrials"
"SOV","Sovereign Bancorp","Financials"
"SE","Spectra Energy Corp.","Energy"
"S","Sprint Nextel Corp.","Telecommunication Services"
"STJ","St Jude Medical","Health Care"
"SWK","Stanley Works","Consumer Discretionary"
"SPLS","Staples Inc.","Consumer Discretionary"
"SBUX","Starbucks Corp.","Consumer Discretionary"
"HOT","Starwood Hotels & Resorts","Consumer Discretionary"
"STT","State Street Corp.","Financials"
"SYK","Stryker Corp.","Health Care"
"SUNW","Sun Microsystems","Information Technology"
"STI","SunTrust Banks","Financials"
"SUN","Sunoco, Inc.","Energy"
"SVU","Supervalu Inc.","Consumer Staples"
"SYMC","Symantec Corp.","Information Technology"
"SNV","Synovus Financial","Financials"
"SYY","Sysco Corp.","Consumer Staples"
"TROW","T. Rowe Price Group","Financials"
"TE","TECO Energy","Utilities"
"TJX","TJX Companies Inc.","Consumer Discretionary"
"TXU","TXU Corp.","Utilities"
"TGT","Target Corp.","Consumer Discretionary"
"TEK","Tektronix Inc.","Information Technology"
"TLAB","Tellabs, Inc.","Information Technology"
"TIN","Temple-Inland","Materials"
"THC","Tenet Healthcare Corp.","Health Care"
"TER","Teradyne Inc.","Information Technology"
"TEX","Terex Corp.","Industrials"
"TXN","Texas Instruments","Information Technology"
"TXT","Textron Inc.","Industrials"
"HSY","The Hershey Company","Consumer Staples"
"TRV","The Travelers Companies, Inc.","Financials"
"TMO","Thermo Fisher Scientific","Health Care"
"TIF","Tiffany & Co.","Consumer Discretionary"
"TWX","Time Warner Inc.","Consumer Discretionary"
"TMK","Torchmark Corp.","Financials"
"RIG","Transocean Inc.","Energy"
"TRB","Tribune Co.","Consumer Discretionary"
"TYC","Tyco International","Industrials"
"TSN","Tyson Foods","Consumer Staples"
"USB","U.S. Bancorp","Financials"
"UST","UST Inc.","Consumer Staples"
"UNP","Union Pacific","Industrials"
"UIS","Unisys Corp.","Information Technology"
"UNH","United Health Group Inc.","Health Care"
"UPS","United Parcel Service","Industrials"
"X","United States Steel Corp.","Materials"
"UTX","United Technologies","Industrials"
"UNM","Unum Group","Financials"
"VFC","V.F. Corp.","Consumer Discretionary"
"VLO","Valero Energy","Energy"
"VAR","Varian Medical Systems","Health Care"
"VRSN","Verisign Inc.","Information Technology"
"VZ","Verizon Communications","Telecommunication Services"
"VIA.B","Viacom Inc. (New)","Consumer Discretionary"
"VNO","Vornado Realty Trust","Financials"
"VMC","Vulcan Materials","Materials"
"WB","Wachovia Corp. (New)","Financials"
"WMT","Wal-Mart Stores","Consumer Staples"
"WAG","Walgreen Co.","Consumer Staples"
"DIS","Walt Disney Co.","Consumer Discretionary"
"WM","Washington Mutual","Financials"
"WMI","Waste Management Inc.","Industrials"
"WAT","Waters Corporation","Health Care"
"WPI","Watson Pharmaceuticals","Health Care"
"WFT","Weatherford International Ltd.","Energy"
"WLP","WellPoint Inc.","Health Care"
"WFC","Wells Fargo","Financials"
"WEN","Wendy's International","Consumer Discretionary"
"WU","Western Union Co","Information Technology"
"WY","Weyerhaeuser Corp.","Materials"
"WHR","Whirlpool Corp.","Consumer Discretionary"
"WFMI","Whole Foods Market","Consumer Staples"
"WMB","Williams Cos.","Energy"
"WIN","Windstream Corporation","Telecommunication Services"
"WWY","Wrigley (Wm) Jr.","Consumer Staples"
"WYE","Wyeth","Health Care"
"WYN","Wyndham Worldwide","Consumer Discretionary"
"XL","XL Capital","Financials"
"XTO","XTO Energy Inc.","Energy"
"XEL","Xcel Energy Inc","Utilities"
"XRX","Xerox Corp.","Information Technology"
"XLNX","Xilinx, Inc","Information Technology"
"YHOO","Yahoo Inc.","Information Technology"
"YUM","Yum! Brands, Inc","Consumer Discretionary"
"ZMH","Zimmer Holdings","Health Care"
"ZION","Zions Bancorp","Financials"
"EBAY","eBay Inc.","Information Technology"
